event_number,event_name,event_gender,event_distance,event_stroke,is_relay,is_diving,place,name,year,team,relay_letter,finals_time,finals_seconds,points,time_standard,is_exhibition,is_dq,is_scratch,dq_reason,splits,relay_swimmers
29,Women 400 IM,Women,400,IM,False,False,5.0,"Deedy, Anne",SR,GTCH-GA,,4:25.77,265.77,2.0,,False,False,False,,"[28.2, 32.13, 35.78, 34.74, 36.17, 36.62, 31.74, 30.39]",[]
29,Women 400 IM,Women,400,IM,False,False,6.0,"Webb, Maria",FR,GTCH-GA,,4:29.87,269.87,1.0,,False,False,False,,"[27.45, 31.8, 34.17, 33.75, 40.25, 40.66, 31.45, 30.34]",[]
29,Women 400 IM,Women,400,IM,False,False,7.0,"Chunn, Kendal A",SR,GTCH-GA,,4:36.59,276.59000000000003,,,False,False,False,,"[27.61, 31.92, 35.31, 35.47, 38.34, 40.41, 33.64, 33.89]",[]
29,Women 400 IM,Women,400,IM,False,False,,"Yacoviello, Molly E",FR,SCAR-SC,,4:14.07,254.07,,B,True,False,False,,"[26.86, 30.77, 32.82, 32.71, 35.09, 36.14, 29.9, 29.78]",[]
29,Women 400 IM,Women,400,IM,False,False,,"Daniels, Grace O",JR,SCAR-SC,,4:27.64,267.64,,,True,False,False,,"[28.33, 32.38, 33.9, 32.84, 39.77, 39.04, 31.17, 30.21]",[]
30,Men 400 IM,Men,400,IM,False,False,1.0,"Erturk, Berk B",FR,GTCH-GA,,3:48.47,228.47,,B,False,False,False,,"[24.03, 27.51, 29.21, 28.46, 33.35, 33.22, 27.48, 25.21]",[]
30,Men 400 IM,Men,400,IM,False,False,2.0,"Prosinski, Raymon P",JR,SCAR-SC,,3:54.71,234.71,4.0,,False,False,False,,"[25.1, 28.68, 29.59, 30.05, 33.25, 34.32, 27.29, 26.43]",[]
30,Men 400 IM,Men,400,IM,False,False,3.0,"Gibbs, Henry C",JR,GTCH-GA,,3:55.21,235.21,3.0,,False,False,False,,"[24.58, 28.46, 30.36, 30.44, 33.69, 34.25, 27.4, 26.03]",[]
30,Men 400 IM,Men,400,IM,False,False,4.0,"Uhl, Tobin",FR,GTCH-GA,,3:57.09,237.09,2.0,,False,False,False,,"[25.25, 28.71, 31.74, 30.91, 32.5, 32.34, 28.1, 27.54]",[]
30,Men 400 IM,Men,400,IM,False,False,5.0,"Ficher, Merlin",FR,SCAR-SC,,4:00.41,240.41,1.0,,False,False,False,,"[24.84, 28.87, 29.79, 28.64, 35.38, 35.59, 29.15, 28.15]",[]
30,Men 400 IM,Men,400,IM,False,False,6.0,"Freeman, Harvey",SR,SCAR-SC,,4:02.69,242.69,,,False,False,False,,"[24.76, 29.16, 32.02, 31.74, 32.54, 33.16, 29.4, 29.91]",[]
30,Men 400 IM,Men,400,IM,False,False,7.0,"Cooper, Michael",SR,SCAR-SC,,4:06.71,246.71,,,True,False,False,,"[25.8, 29.63, 31.74, 31.45, 34.12, 35.59, 29.84, 28.54]",[]
31,Women 400 Freestyle Relay,Women,400,Freestyle,True,False,1.0,GTCH-GA,,GTCH-GA,A,3:16.70,196.7,11.0,,False,False,False,,"[23.82, 49.49, 23.47, 49.53, 23.34, 49.34, 22.82, 48.34]","[('Stanisavljevic, Nina', 'SO', 1), ('Hadjiloizou, Anna', 'SR', 2), ('Wright, Phoebe', 'SR', 3), ('Ferrari, Jillian D', 'JR', 4)]"
31,Women 400 Freestyle Relay,Women,400,Freestyle,True,False,2.0,SCAR-SC,,SCAR-SC,A,3:17.82,197.82,4.0,,False,False,False,,"[23.99, 49.41, 23.46, 49.57, 23.92, 49.85, 22.88, 48.99]","[('Riordan, Amy L', 'SR', 1), ('Scholes, Dylan A', 'SR', 2), ('Ottem, Ellery', 'JR', 3), ('West, Kara', 'JR', 4)]"
31,Women 400 Freestyle Relay,Women,400,Freestyle,True,False,3.0,SCAR-SC,,SCAR-SC,B,3:21.61,201.61,2.0,,False,False,False,,"[24.42, 50.41, 24.23, 50.82, 24.48, 50.59, 23.76, 49.79]","[('Gormley, Breckin F', 'SR', 1), ('Agliano, Jordan F', 'SR', 2), ('Chan, Samantha S', 'SO', 3)]"
31,Women 400 Freestyle Relay,Women,400,Freestyle,True,False,4.0,GTCH-GA,,GTCH-GA,B,3:21.95,201.95,,,False,False,False,,"[23.89, 50.17, 24.74, 51.8, 23.95, 50.53, 24.01, 49.45]","[('Masud, Zara', 'SO', 1), ('Segal, Yuval', 'FR', 2), ('Smith, Annabel', 'FR', 3), ('Gyurinovics, Lili', 'SO', 4)]"
31,Women 400 Freestyle Relay,Women,400,Freestyle,True,False,5.0,SCAR-SC,,SCAR-SC,C,3:24.02,204.02,,,True,False,False,,"[24.34, 50.37, 24.04, 50.69, 25.04, 51.59, 24.87, 51.37]","[('Grimley, Taylor O', 'SO', 1), ('Eaton, Emily T', 'JR', 2), ('Fluck, Nora', 'SO', 3), ('Reiser, Emma', 'SO', 4)]"
32,Men 400 Freestyle Relay,Men,400,Freestyle,True,False,1.0,GTCH-GA,,GTCH-GA,A,2:53.76,173.76,11.0,,False,False,False,,"[20.86, 43.85, 20.41, 42.94, 20.42, 43.36, 20.54, 43.61]","[('Yeboah, Robin', 'JR', 1), ('Balduccini, Ricky', 'JR', 2), ('Richardson, Chris E', 'SR', 3), ('Caballero, Joao', 'SR', 4)]"
32,Men 400 Freestyle Relay,Men,400,Freestyle,True,False,2.0,SCAR-SC,,SCAR-SC,A,2:53.90,173.9,4.0,,False,False,False,,"[21.07, 44.12, 20.5, 43.36, 20.63, 43.28, 20.44, 43.14]","[('Harrison, Bexon D', 'FR', 1), ('Hufford, Ryan G', 'JR', 2), ('Largeron, Pierre', 'JR', 3), ('Usmonov, Eldor', 'GS', 4)]"
32,Men 400 Freestyle Relay,Men,400,Freestyle,True,False,3.0,GTCH-GA,,GTCH-GA,B,2:59.29,179.29,2.0,,False,False,False,,"[21.63, 44.23, 21.51, 45.82, 21.43, 45.02, 20.87, 44.22]","[('Sega, Vitor', 'JR', 1), ('Johnson, Brodie', 'SO', 2), ('Gerhard, Ben M', 'SR', 3), ('Jones, Stephen R', 'SR', 4)]"
32,Men 400 Freestyle Relay,Men,400,Freestyle,True,False,4.0,SCAR-SC,,SCAR-SC,B,3:00.16,180.16,,,False,False,False,,"[21.29, 44.56, 21.2, 44.96, 21.33, 44.84, 21.77, 45.8]","[('Buck, Quinn O', 'SR', 1), ('Agustsson, Einar', None, 2), ('Korvick, Kyle A', 'SR', 3), ('Fry, Connor C', 'JR', 4)]"
32,Men 400 Freestyle Relay,Men,400,Freestyle,True,False,5.0,SCAR-SC,,SCAR-SC,C,3:14.23,194.23,,,True,False,False,,"[22.99, 48.05, 22.71, 49.17, 22.43, 47.16, 23.12, 49.85]","[('Whitacre, Tyler H', 'SO', 1), ('Carman, Jack T', 'SR', 2), ('Hulbert, Gage M', 'SR', 3), ('Prosinski, Raymond P', 'JR', 4)]"
